endTime,artistName,trackName,msPlayed
2023-12-12 02:29,Jess Glynne,One Touch,104861
2023-12-12 02:31,A-Wall,Solo,157377
2023-12-12 02:35,Carly Rae Jepsen,Cut To The Feeling,207959
2023-12-12 02:37,Camila Cabello,Havana (feat. Young Thug),117938
2023-12-12 02:41,starfall,tied up,155200
2023-12-12 02:43,Emei,Scatterbrain,129938
2023-12-12 02:46,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
2023-12-12 03:52,half•alive,still feel.,247786
2023-12-12 03:54,Dayglow,Can I Call You Tonight?,72208
2023-12-12 03:57,Saint Motel,My Type,206393
2023-12-12 04:00,Post Malone,I Like You (A Happier Song) (with Doja Cat),192840
2023-12-12 04:03,MICO,cut my hair,176223
2023-12-12 04:46,Taylor Swift,Anti-Hero,200690
